,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
15,662571,2022-04-07T23:05:00Z,2022-04-07,R,Final,New York Mets,Washington Nationals,121,120,N,1,Patrick Corbin,Tylor Megill,,,5,1,9,Bottom,3309,Nationals Park,New York Mets,Washington Nationals,Tylor Megill,Patrick Corbin,,2022-04-07 - New York Mets (5) @ Washington Nationals (1) (Final)
16,662559,2022-04-08T23:05:00Z,2022-04-08,R,Final,New York Mets,Washington Nationals,121,120,N,1,Josiah Gray,Max Scherzer,,,7,3,9,Bottom,3309,Nationals Park,New York Mets,Washington Nationals,Max Scherzer,Josiah Gray,,2022-04-08 - New York Mets (7) @ Washington Nationals (3) (Final)
17,662588,2022-04-09T23:05:00Z,2022-04-09,R,Final,New York Mets,Washington Nationals,121,120,N,1,Joan Adon,Chris Bassitt,,,5,0,9,Bottom,3309,Nationals Park,New York Mets,Washington Nationals,Chris Bassitt,Joan Adon,,2022-04-09 - New York Mets (5) @ Washington Nationals (0) (Final)
18,662570,2022-04-10T17:35:00Z,2022-04-10,R,Final,New York Mets,Washington Nationals,121,120,N,1,Erick Fedde,Carlos Carrasco,,,2,4,9,Top,3309,Nationals Park,Washington Nationals,New York Mets,Kyle Finnegan,Trevor Williams,Tanner Rainey,2022-04-10 - New York Mets (2) @ Washington Nationals (4) (Final)
19,661637,2022-04-11T22:45:00Z,2022-04-11,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,Ranger Suarez,Taijuan Walker,,,4,5,9,Top,2681,Citizens Bank Park,Philadelphia Phillies,New York Mets,Seranthony Dominguez,Seth Lugo,Brad Hand,2022-04-11 - New York Mets (4) @ Philadelphia Phillies (5) (Final)
20,661636,2022-04-12T22:45:00Z,2022-04-12,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,Zack Wheeler,Tylor Megill,,,2,0,9,Bottom,2681,Citizens Bank Park,New York Mets,Philadelphia Phillies,Tylor Megill,Zack Wheeler,Edwin Diaz,2022-04-12 - New York Mets (2) @ Philadelphia Phillies (0) (Final)
21,661643,2022-04-13T17:05:00Z,2022-04-13,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,Aaron Nola,Max Scherzer,,,9,6,9,Bottom,2681,Citizens Bank Park,New York Mets,Philadelphia Phillies,Max Scherzer,Aaron Nola,,2022-04-13 - New York Mets (9) @ Philadelphia Phillies (6) (Final)
22,662485,2022-04-15T17:10:00Z,2022-04-15,R,Final,Arizona Diamondbacks,New York Mets,109,121,N,1,Chris Bassitt,Zach Davies,,,3,10,9,Top,3289,Citi Field,New York Mets,Arizona Diamondbacks,Chris Bassitt,Zach Davies,,2022-04-15 - Arizona Diamondbacks (3) @ New York Mets (10) (Final)
23,662626,2022-04-16T17:10:00Z,2022-04-16,R,Final,Arizona Diamondbacks,New York Mets,109,121,N,1,Carlos Carrasco,Zac Gallen,,,3,2,9,Bottom,3289,Citi Field,Arizona Diamondbacks,New York Mets,Sean Poppen,Joely Rodriguez,Mark Melancon,2022-04-16 - Arizona Diamondbacks (3) @ New York Mets (2) (Final)
24,662625,2022-04-17T17:40:00Z,2022-04-17,R,Final,Arizona Diamondbacks,New York Mets,109,121,N,1,David Peterson,Humberto Castellanos,,,0,5,9,Top,3289,Citi Field,New York Mets,Arizona Diamondbacks,Chasen Shreve,Noe Ramirez,,2022-04-17 - Arizona Diamondbacks (0) @ New York Mets (5) (Final)
26,662350,2022-04-19T19:10:00Z,2022-04-19,R,Final,San Francisco Giants,New York Mets,137,121,Y,1,Tylor Megill,Alex Cobb,,,4,5,10,Bottom,3289,Citi Field,New York Mets,San Francisco Giants,Adam Ottavino,Jarlin Garcia,,2022-04-19 - San Francisco Giants (4) @ New York Mets (5) (Final)
27,662616,2022-04-19T19:15:00Z,2022-04-19,R,Final,San Francisco Giants,New York Mets,137,121,Y,2,Max Scherzer,Logan Webb,,,1,3,9,Top,3289,Citi Field,New York Mets,San Francisco Giants,Max Scherzer,Logan Webb,Trevor May,2022-04-19 - San Francisco Giants (1) @ New York Mets (3) (Final)
28,662349,2022-04-20T23:10:00Z,2022-04-20,R,Final,San Francisco Giants,New York Mets,137,121,N,1,Chris Bassitt,Carlos Rodon,,,5,2,9,Bottom,3289,Citi Field,San Francisco Giants,New York Mets,Carlos Rodon,Chris Bassitt,Jake McGee,2022-04-20 - San Francisco Giants (5) @ New York Mets (2) (Final)
29,662593,2022-04-21T17:10:00Z,2022-04-21,R,Final,San Francisco Giants,New York Mets,137,121,N,1,Carlos Carrasco,Anthony DeSclafani,,,2,6,9,Top,3289,Citi Field,New York Mets,San Francisco Giants,Carlos Carrasco,Anthony DeSclafani,,2022-04-21 - San Francisco Giants (2) @ New York Mets (6) (Final)
30,663394,2022-04-23T01:40:00Z,2022-04-22,R,Final,New York Mets,Arizona Diamondbacks,121,109,N,1,Zac Gallen,David Peterson,,,6,5,10,Bottom,15,Chase Field,New York Mets,Arizona Diamondbacks,Edwin Diaz,Mark Melancon,Seth Lugo,2022-04-22 - New York Mets (6) @ Arizona Diamondbacks (5) (Final)
31,663384,2022-04-24T00:10:00Z,2022-04-23,R,Final,New York Mets,Arizona Diamondbacks,121,109,N,1,Humberto Castellanos,Trevor Williams,,,2,5,9,Top,15,Chase Field,Arizona Diamondbacks,New York Mets,Humberto Castellanos,Trevor Williams,Joe Mantiply,2022-04-23 - New York Mets (2) @ Arizona Diamondbacks (5) (Final)
32,663361,2022-04-24T20:10:00Z,2022-04-24,R,Final,New York Mets,Arizona Diamondbacks,121,109,N,1,Madison Bumgarner,Tylor Megill,,,6,2,9,Bottom,15,Chase Field,New York Mets,Arizona Diamondbacks,Tylor Megill,J.B. Wendelken,,2022-04-24 - New York Mets (6) @ Arizona Diamondbacks (2) (Final)
33,662008,2022-04-25T23:45:00Z,2022-04-25,R,Final,New York Mets,St. Louis Cardinals,121,138,N,1,Miles Mikolas,Max Scherzer,,,5,2,9,Bottom,2889,Busch Stadium,New York Mets,St. Louis Cardinals,Trevor May,Giovanny Gallegos,Edwin Diaz,2022-04-25 - New York Mets (5) @ St. Louis Cardinals (2) (Final)
34,662007,2022-04-26T23:45:00Z,2022-04-26,R,Final,New York Mets,St. Louis Cardinals,121,138,N,1,Jordan Hicks,Chris Bassitt,,,3,0,9,Bottom,2889,Busch Stadium,New York Mets,St. Louis Cardinals,Chris Bassitt,Jordan Hicks,Edwin Diaz,2022-04-26 - New York Mets (3) @ St. Louis Cardinals (0) (Final)
